ID_avaliacao,avaliacao,nota,sentimento
81841,"Esse smartphone superou minhas expectativas, recomendo",5,positivo
28031,o cheiro e muito desagradavel!! pra quem se incomoda  nao recomendoo..,2,negativo
91332,"Eu fiz a compra a loja não entregou o produto, a compra foi feita no cartão de credito e ate o momento a loja também nao me devolveu o valor da compra.",1,negativo
110045,"Atendeu minhas expectativas, só achei a luz ruim, mas nada que dificulte seu funcionamento.",4,positivo
36929,"Gostei muito, só achei que ficou a desejar a qualidade das fotos. Achei que fosse bem melhor .",5,positivo
13086,Comprei o produto e ñ tinha para entrega isso não foi legal!!!!!!,1,negativo
117549,"o produto pode até ser bom ,mais só posso avalia-lo depois que for feito a troca para eu usa-lo, pois estou esperando a troca ser feita o que recebi veio quebrado",1,negativo
56436,"já enviei duas reclamações, mas não obtive resposta. recebi o produto quebrado e quero que seja enviado outro. estou no aguardo para saber o que fazer. att. Cármen",1,negativo
127040,"nao recebi o produto, pois voces nao cumpriram o compromisso firmado de entregar ate hoje 23/05/18. PESSIMA LOGISTICA. Ja solicitei o cancelamento da compra.",1,negativo
12906,"A partir de 2017 os jogos online passaram a apresentar problemas como desconexão constante não computando o placar do jogo, um dos times invisível forçando abandono da partida... pelo valor que cobram de anuidade na live e pelo jogo original Microsoft e EA estão sendo mto negligentes.",2,negativo
108940,"Melhor que esperado, cor maravilhosa! Recomendo. Deixa seu ambiente mais moderno",5,positivo
107400,essa bicicleta é para adulto? qual o tamanho do aro?,2,negativo
111349,Não me entregaram embora eu paguei. Considero uma fraude,1,negativo
127761,"O HD veio com defeito, nem ligava... estou na tentativa de troca já tem uns 20 dias...",1,negativo
114931,"O viva voz do telefone começou a ativar sozinho essa semana 08/05/2018. E não desativa mais, não posso nem tirar o telefone do gancho que ele começa a fazer um zunido muito forte. A nota fiscal foi emitida em 16/11/2018, mas somente comecei a fazer uso depois das férias, em janeiro de 2018.",1,negativo
116473,Um aparelho com uma ótima performance e um preço bem menor que outros aparelhos de marcas mais conhecidas com performance semelhante.,4,positivo
2401,até o presente momento eu não recebi o meu produto.,1,negativo
49870,Após cinco barbas o produto já não apara mais o pelo.,1,negativo
30477,O produto correspondeu as minhas expectativas. Muito bom mesmo!,5,positivo
98849,"Demorou chega produto, passou ate do prazo, mas celular é bom",4,positivo
101832,"A empresa me passa um prazo, de 3 á 7 dias úteis, o boleto foi confirmado dia 16, me repassam um e-mail falando que está previsto a entrega para 3/5, só responderam as minhas reclamações na data 25/4, que era a data máxima para a entrega do produto, ridículo.",1,negativo
62578,entrega foi rapido e o mouse e mto bom bonito e tem uma pegada excelente recomendo e o preço ta otimo,4,positivo
